team,pace,ortg,drtg,nrtg,o-eFG%,o-TOV%,o-ORB%,o-FT/FGA,d-eFG%,d-TOV%,d-DRB%,d-FT/FGA
OKC,99.3,118.6,107.5,+11.1,.558,11.2,22.2,.219,.516,14.7,74.3,.188
SAS,100.1,119.1,111.0,+8.1,.558,11.9,26.0,.217,.522,11.6,77.5,.182
DET,99.4,117.6,109.5,+8.1,.543,12.9,30.8,.223,.516,14.9,74.0,.252
BOS,94.6,120.3,112.6,+7.7,.548,11.1,29.3,.168,.521,11.4,75.6,.192
NYK,97.2,119.6,113.2,+6.4,.556,12.2,29.3,.189,.539,13.0,76.9,.208
DEN,98.3,122.0,117.3,+4.7,.575,11.6,23.2,.241,.543,10.5,75.3,.197
HOU,96.0,117.7,113.2,+4.5,.538,13.6,35.0,.198,.530,12.1,74.3,.189
CHA,97.0,119.1,114.7,+4.4,.552,13.6,30.4,.203,.540,11.5,76.8,.189
CLE,99.9,119.0,114.8,+4.2,.559,12.2,26.8,.204,.542,13.3,74.1,.212
MIN,100.4,116.7,113.2,+3.5,.558,13.0,26.1,.218,.529,12.9,74.1,.217
TOR,98.5,115.4,113.0,+2.4,.543,12.2,25.5,.201,.539,14.2,74.0,.221
MIA,103.6,115.9,113.7,+2.2,.536,11.6,25.3,.214,.537,13.0,74.9,.196
LAL,98.5,118.3,116.5,+1.8,.572,13.1,24.0,.245,.557,13.1,74.5,.193
ATL,101.6,115.9,114.1,+1.8,.552,12.3,24.1,.183,.547,13.9,74.1,.206
LAC,96.4,117.6,116.0,+1.6,.560,13.3,23.8,.248,.546,12.9,73.2,.194
PHX,97.0,115.6,114.1,+1.5,.537,12.7,28.9,.177,.542,14.5,71.7,.218
ORL,99.4,115.1,114.9,+0.2,.530,12.1,24.9,.245,.546,12.9,75.3,.222
GSW,99.3,114.9,114.9,0.0,.550,13.8,25.8,.189,.550,14.0,73.0,.199
PHI,99.4,115.6,115.9,-0.3,.531,11.9,26.3,.225,.544,13.5,72.4,.216
POR,100.9,114.0,114.8,-0.8,.532,14.7,31.2,.217,.541,13.4,72.8,.215
MEM,101.2,113.4,117.4,-4.0,.534,13.0,25.2,.202,.556,13.4,71.7,.205
NOP,99.9,114.4,118.7,-4.3,.528,12.3,27.1,.220,.554,12.5,71.3,.199
CHI,102.3,113.3,117.8,-4.5,.550,13.2,23.1,.191,.551,10.9,75.9,.190
DAL,101.5,111.0,116.0,-5.0,.530,12.9,23.0,.213,.543,11.4,73.9,.180
MIL,97.7,112.6,119.1,-6.5,.564,13.8,20.5,.163,.558,11.8,74.1,.215
UTA,101.8,114.4,122.2,-7.8,.537,13.3,26.2,.225,.576,12.4,72.6,.230
IND,100.9,110.8,119.1,-8.3,.532,12.7,21.7,.198,.557,11.7,74.0,.224
BKN,96.9,109.2,118.6,-9.4,.522,14.4,24.3,.211,.567,13.1,73.9,.229
SAC,99.3,111.0,121.4,-10.4,.523,12.5,25.3,.197,.571,12.3,73.3,.215
WAS,101.2,110.9,122.1,-11.2,.534,13.6,24.2,.181,.556,11.6,70.0,.232
