game_id,home,away,date,Home Score,Away Score,home wager,away wager,opener_spread,spread,opener_total,total,home_spread_odds,away_spread_odds
363180,CHI,PHO,2026-04-05,0,0,58%,42%,10.5,10,236.5,240,1.91,1.91
363181,BK,WAS,2026-04-05,0,0,67%,33%,-4.5,-3.5,230.5,230.5,1.91,1.91
363182,BOS,TOR,2026-04-05,0,0,60%,40%,-10.5,-9.5,221.5,220,1.95,1.87
363183,MIL,MEM,2026-04-05,0,0,62%,38%,-5.5,-6,226.5,227.5,1.91,1.91
363184,CLE,IND,2026-04-05,0,0,42%,58%,-17.5,-15.5,237.5,238.5,1.91,1.91
363185,MIN,CHA,2026-04-05,0,0,53%,47%,-1.5,2,227.5,227.5,1.91,1.91
363186,OKC,UTA,2026-04-05,0,0,50%,50%,-20.5,-24,239.5,239,1.91,1.91
363187,NO,ORL,2026-04-05,0,0,38%,62%,3.5,4.5,235.5,236.5,1.91,1.91
363188,DAL,LAL,2026-04-05,0,0,54%,46%,6.5,1.5,235.5,232.5,1.91,1.91
363189,SAC,LAC,2026-04-05,0,0,55%,45%,11.5,12.5,230.5,228.5,1.91,1.91
363190,GS,HOU,2026-04-05,0,0,32%,68%,3.5,3.5,223.5,226.5,1.91,1.91
